dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen
30/03/2016 13:51,Zu_verkaufen,private,offer,4450,test,limousine,2003,manual,150,3er,150000,3,diesel,bmw,,30/03/2016 0:00,20257,7/4/2016 4:44
7/3/2016 9:54,Volvo_XC90_2.4D_Summum,private,offer,13299,control,suv,2005,manual,163,xc_reihe,150000,6,diesel,volvo,no,7/3/2016 0:00,88045,26/03/2016 13:17
1/4/2016 0:57,Volkswagen_Touran,private,offer,3200,test,bus,2003,manual,101,touran,150000,11,diesel,volkswagen,,31/03/2016 0:00,27449,1/4/2016 8:40
19/03/2016 17:50,Seat_Ibiza_1.4_16V_Reference,private,offer,4500,control,small car,2006,manual,86,ibiza,60000,12,petrol,seat,no,19/03/2016 0:00,34537,7/4/2016 4:44
16/03/2016 14:51,Volvo_XC90_D5_Aut._RDesign_R_Design_AWD_GSHD_Sitzhzg.,private,offer,18750,test,suv,2008,automatic,185,xc_reihe,150000,11,diesel,volvo,no,16/03/2016 0:00,55270,1/4/2016 23:18
2/4/2016 12:51,VW_Passat_35i_Facelift_Limousine_TÜV_Neu,private,offer,988,test,limousine,1995,manual,90,passat,150000,2,petrol,volkswagen,no,2/4/2016 0:00,26826,2/4/2016 12:51
3/4/2016 11:06,Opel_astra,private,offer,400,test,station wagon,1996,manual,0,astra,150000,5,petrol,opel,,3/4/2016 0:00,56422,6/4/2016 16:47
24/03/2016 15:52,Mercedes_Benz_CLK_Coupe_200,private,offer,1399,test,coupe,1997,manual,136,clk,150000,11,petrol,mercedes_benz,no,24/03/2016 0:00,13353,27/03/2016 12:45
28/03/2016 14:40,Vectra_C_Caravan_1_8_Edition_Facelift_m_AHK_Inspektion_neu_sauber,private,offer,4680,test,station wagon,2005,manual,122,vectra,150000,12,petrol,opel,no,28/03/2016 0:00,28307,6/4/2016 18:19
5/4/2016 11:38,Skoda_Octavia_2.0_TDI_DSG_Elegance,private,offer,8340,test,limousine,2005,automatic,140,octavia,125000,4,diesel,skoda,no,5/4/2016 0:00,16761,5/4/2016 11:38
21/03/2016 9:52,Mercedes_Benz_A_140_Classic,private,offer,1870,control,limousine,2001,manual,82,a_klasse,150000,1,petrol,mercedes_benz,no,21/03/2016 0:00,26835,22/03/2016 14:19
25/03/2016 12:40,Opel_Astra___G_CC,private,offer,2500,test,coupe,2001,manual,105,astra,125000,4,petrol,opel,no,25/03/2016 0:00,31174,28/03/2016 11:44
13/03/2016 7:52,Toyota_Yaris_1.0_linea_sol___Klima___Standheizung,private,offer,990,test,small car,2001,manual,68,yaris,150000,9,petrol,toyota,no,13/03/2016 0:00,24848,13/03/2016 7:52
21/03/2016 18:56,BMW_e46_316ti_Compact__M_Paket,private,offer,3000,test,,2016,manual,116,3er,150000,0,petrol,bmw,yes,21/03/2016 0:00,34379,23/03/2016 0:45
8/3/2016 20:52,Schoen_klein_wagen__119000__Org.Klm,private,offer,2200,control,limousine,2003,manual,83,meriva,125000,5,petrol,opel,no,8/3/2016 0:00,51065,5/4/2016 21:15
2/4/2016 13:44,Volvo_V70_Kombi_Diesel_2_5_TÜV_03/2018,private,offer,1600,test,station wagon,1999,manual,140,,150000,3,diesel,volvo,no,2/4/2016 0:00,18059,6/4/2016 11:45
12/3/2016 21:52,Nissan_Terrano_II,private,offer,1300,test,suv,1993,manual,101,others,150000,10,diesel,nissan,yes,12/3/2016 0:00,49406,24/03/2016 23:17
